idx,タスク,概要,url
23,Medical Image Segmentation(医療画像セグメンテーション),医療画像セグメンテーションは、医療画像を複数のセグメントに分割することを含むコンピュータービジョンタスクであり、各セグメントは画像の関心のある異なるオブジェクトまたは構造を表します。,https://paperswithcode.com/task/medical-image-segmentation
24,Visual Reasoning(視覚的な推論),視覚画像に関連する行動と推論を理解する能力,https://paperswithcode.com/task/visual-reasoning
25,Classification(分類),分類は、データのセットを事前定義されたクラスまたはグループに分類するタスクです。,https://paperswithcode.com/task/classification-1
26,Image-to-Image Translation(画像間翻訳),画像から画像への翻訳は、入力画像と出力イメージの間のマッピングを学習することを目標とするコンピュータービジョンと機械学習のタスクであり、出力画像を使用してスタイル転送などの特定のタスクを実行できるようにします。,https://paperswithcode.com/task/image-to-image-translation
27,Anomaly Detection(異常検出),異常検出は、データセット内の異常なパターンまたは予期しないパターンを識別するバイナリ分類であり、データの大部分から大幅に逸脱します。,https://paperswithcode.com/task/anomaly-detection
28,3D Human Pose Estimation(3Dヒューマンポーズ推定),3Dヒューマンポーズ推定は、2D画像またはビデオからの体調と骨の3D位置と方向を推定することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/3d-human-pose-estimation
29,Scene Understanding(シーンの理解),シーンの理解は、シーンを理解するものです。,https://paperswithcode.com/task/scene-understanding
30,Unsupervised Domain Adaptation(監視されていないドメインの適応),監視されていないドメインの適応は、ソースドメインから学んだ知識を、多くの注釈付きトレーニングの例を使用して、標的ドメインのみをターゲットにしていないデータのみを導入するための学習フレームワークです。,https://paperswithcode.com/task/unsupervised-domain-adaptation
31,Facial Expression Recognition (FER)(表情表現認識（FER）),表情表現認識（FER）は、人間の顔に描かれた感情的な表現を特定して分類することを目的としたコンピュータービジョンタスクです。,https://paperswithcode.com/task/facial-expression-recognition
32,Handwriting Recognition(手書きの認識),画像ソース：ラベル付きデータがほとんどない履歴ドキュメントの手書き認識,https://paperswithcode.com/task/handwriting-recognition
33,Few-Shot Image Classification(少数のショット画像分類),少数のショット画像分類は、各カテゴリのいくつかのラベル付けされた例のみを使用して、画像を事前定義されたカテゴリに分類するための機械学習モデルをトレーニングすることを含むコンピュータービジョンタスクです（通常は6つの例）。,https://paperswithcode.com/task/few-shot-image-classification
34,Metric Learning(メトリック学習),メトリック学習の目標は、オブジェクトを埋め込み空間にマッピングする表現関数を学習することです。,https://paperswithcode.com/task/metric-learning
35,Object Tracking(オブジェクト追跡),オブジェクトトラッキングは、オブジェクト検出の初期セットを取得し、初期検出のそれぞれに一意のIDを作成し、ビデオ内のフレームを動き回ってID割り当てを維持しながら各オブジェクトを追跡するタスクです。,https://paperswithcode.com/task/object-tracking
36,2D object detection(2Dオブジェクト検出),このタスクには説明がありません！,https://paperswithcode.com/task/2d-object-detection
37,3D Pose Estimation(3Dポーズ推定),画像クレジット：GSNET：幾何学的およびシーン認識監督によるジョイントビークルのポーズと形状の再構築、ECCV'20,https://paperswithcode.com/task/3d-pose-estimation
38,Neural Architecture Search(ニューラルアーキテクチャ検索),ニューラルアーキテクチャ検索（NAS）は、小さなデータセットから大きなデータセットに転送できるモジュラーアーキテクチャを学習します。,https://paperswithcode.com/method/neural-architecture-search
39,3D Object Detection(3Dオブジェクト検出),3Dオブジェクトの検出は、コンピュータービジョンのタスクであり、目標は、その形状、場所、および向きに基づいて3D環境のオブジェクトを識別して見つけることです。,https://paperswithcode.com/task/3d-object-detection
40,3D Reconstruction(3D再構成),ナンがあります,https://paperswithcode.com/methods/category/3d-reconstruction
41,Few-Shot Learning(少数のショット学習),少数のショット学習は、メタトレーニング段階でいくつかの関連するタスクで学習者がトレーニングされているメタラーニングの例であり、メタ中に、わずかな例で目に見えない（ただし関連）タスクによく一般化できるようにします。,https://paperswithcode.com/task/few-shot-learning
42,Object Counting(オブジェクトカウント),オブジェクトカウントタスクの目標は、単一の画像またはビデオシーケンスでオブジェクトインスタンスの数をカウントすることです。,https://paperswithcode.com/task/object-counting
43,Image Clustering(画像クラスタリング),グラウンドトゥルースラベルにアクセスすることなく、データセットを意味的に意味のあるクラスターに分割するモデル。,https://paperswithcode.com/task/image-clustering
44,Zero-Shot Learning(ゼロショット学習),Zero-Shot Learning（ZSL）は、トレーニング中に見られなかったクラスを検出するモデルの能力です。,https://paperswithcode.com/task/zero-shot-learning
45,Face Anti-Spoofing(顔を引き起こします),顔のスプーフィングは、写真、ビデオ、マスク、または認可された人の顔の別の代替品を使用して、誤った顔の検証を防ぐタスクです。,https://paperswithcode.com/task/face-anti-spoofing
46,Image Inpainting(画像の入力),画像の開始は、画像内の欠落している領域を再構築するタスクです。,https://paperswithcode.com/task/image-inpainting
47,Novel View Synthesis(新規ビュー統合),指定されたソース画像とそのカメラポーズから任意のターゲットカメラのポーズでターゲット画像を合成します。,https://paperswithcode.com/task/novel-view-synthesis
48,Optical Flow Estimation(光フロー推定),光フロー推定は、画像またはビデオシーケンスでオブジェクトの動きを計算することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/optical-flow-estimation
49,Panoptic Segmentation(パノプティックセグメンテーション),パノプティックセグメンテーションは、セマンティックセグメンテーションとインスタンスセグメンテーションを組み合わせて、シーンの包括的な理解を提供するコンピュータービジョンタスクです。,https://paperswithcode.com/task/panoptic-segmentation
50,Scene Text Recognition(シーンテキスト認識),このタスクのリーダーボードのシーンテキスト検出を参照してください。,https://paperswithcode.com/task/scene-text-recognition
51,Face Verification(顔の検証),顔の検証は、2つの顔の画像が同じ人に属しているかどうかを判断することを含む、コンピュータービジョンにおける機械学習タスクです。,https://paperswithcode.com/task/face-verification
52,Multi-Task Learning(マルチタスク学習),マルチタスク学習は、1つまたはすべてのタスクのパフォーマンスを最大化しながら、複数の異なるタスクを同時に学習することを目的としています。,https://paperswithcode.com/task/multi-task-learning
53,Continual Learning(継続的な学習),継続的な学習（増分学習、生涯学習とも呼ばれます）は、前のタスクから得られた知識を忘れずに、多数のタスクのモデルを順番に学習するための概念です。,https://paperswithcode.com/task/continual-learning
54,Cross-Modal Retrieval(クロスモーダル検索),クロスモーダル検索は、さまざまなモダリティにわたって検索タスクを実装するために使用されます。,https://paperswithcode.com/task/cross-modal-retrieval
55,Density Estimation(密度推定),密度推定の目標は、未知の密度の観測可能なデータセットの基礎となる確率密度分布の正確な説明を与えることです。,https://paperswithcode.com/task/density-estimation
56,Image Denoising(画像除去),画像除去は、画像からノイズを削除することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/image-denoising
57,Monocular Depth Estimation(単眼深度推定),単眼深度推定は、単一の（単眼の）RGB画像を与えられた各ピクセルの深さ値（カメラに対する距離）を推定するタスクです。,https://paperswithcode.com/task/monocular-depth-estimation
58,Multi-Label Classification(マルチラベル分類),マルチラベル分類は、インスタンスが複数のラベルに関連付けられる可能性のある監視された学習問題です。,https://paperswithcode.com/task/multi-label-classification
59,Object Localization(オブジェクトのローカリゼーション),オブジェクトのローカリゼーションは、通常、インスタンスを中心としたしっかりとトリミングされた境界ボックスを指定することにより、画像内の特定のオブジェクトカテゴリのインスタンスを見つけるタスクです。,https://paperswithcode.com/task/object-localization
60,Scene Recognition(シーン認識),このタスクには説明がありません！,https://paperswithcode.com/task/scene-recognition
61,Super-Resolution(超解像度),スーパー解像度は、低解像度の入力から欠落している高周波の詳細を生成することにより、画像またはビデオの解像度を増やすことを伴うコンピュータービジョンのタスクです。,https://paperswithcode.com/task/super-resolution
62,Visual Localization(視覚的なローカリゼーション),視覚的なローカリゼーションは、既知のシーンの視覚的表現と比較して、特定の画像のカメラポーズを推定する問題です。,https://paperswithcode.com/task/visual-localization
63,Visual Odometry(視覚臭),視覚的臭気は、視覚センサーによって収集されたデータを使用してロボットのポーズを推定することを中心的な目的とする情報融合の重要な領域です。,https://paperswithcode.com/task/visual-odometry
64,Disentanglement(解体),これは、主要な問題の基礎構造をその表現のばらばらの部分に解き放つ（または分離する）ことにより、データ効率的な方法で一連のタスクを解決するためのアプローチです。,https://paperswithcode.com/task/disentanglement
65,Domain Generalization(ドメイン一般化),ドメイン一般化のアイデアは、1つまたは複数のトレーニングドメインから学習し、目に見えないドメインに適用できるドメインに存在するモデルを抽出することです。,https://paperswithcode.com/task/domain-generalization
66,Face Alignment(顔のアライメント),顔のアライメントは、デジタル画像の面の幾何学的構造を識別し、翻訳、スケール、および回転に基づいて顔の標準的なアライメントを取得しようとするタスクです。,https://paperswithcode.com/task/face-alignment
67,Hand Pose Estimation(ハンドポーズの推定),ハンドポーズの推定は、ビデオフレームの画像またはセットから手の関節を見つけるタスクです。,https://paperswithcode.com/task/hand-pose-estimation
68,Salient Object Detection(顕著なオブジェクト検出),このタスクには説明がありません！,https://paperswithcode.com/task/salient-object-detection-1
69,2D Human Pose Estimation(2Dヒューマンポーズ推定),人間のポーズ推定とは何ですか？,https://paperswithcode.com/task/2d-human-pose-estimation
70,Crowd Counting(群衆の数),群衆のカウントは、イメージの人々を数えるタスクです。,https://paperswithcode.com/task/crowd-counting
71,Facial Landmark Detection(顔のランドマーク検出),フェイシャルランドマークの検出は、目、鼻、口、あごなどの顔の特定のポイントまたはランドマークを検出およびローカライズすることを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/facial-landmark-detection
72,Lesion Segmentation(病変セグメンテーション),病変セグメンテーションは、医療ベースの画像の他のオブジェクトから病変を分割するタスクです。,https://paperswithcode.com/task/lesion-segmentation
73,Long-tail Learning(ロングテール学習),視覚的認識で最も困難な問題の1つであるロングテールの学習は、長期にわたるクラスの分布に続く多数の画像から、パフォーマンスの良いモデルを訓練することを目指しています。,https://paperswithcode.com/task/long-tail-learning
74,Pedestrian Detection(歩行者の検出),歩行者の検出は、カメラから歩行者を検出するタスクです。,https://paperswithcode.com/task/pedestrian-detection
75,Quantization(量子化),量子化は、ニューラルネットワークトレーニングの計算コストを削減するための有望な手法であり、高コストの浮動小数点数（たとえば、FLOAT32）を低コストの固定点数（例：INT8に置き換えることができます,https://paperswithcode.com/task/quantization
76,Saliency Detection(顕著性検出),顕著性検出は、画像内の顕著なオブジェクトを見つけることを目的とするコンピュータービジョンの前処理ステップです。,https://paperswithcode.com/task/saliency-detection
77,Self-Supervised Learning(自己教師の学習),自己教師の学習とは、自己教師の方法で表現を学習する方法のカテゴリーを指します（つまり、ラベルなし）。,https://paperswithcode.com/methods/category/self-supervised-learning
78,Semi-Supervised Image Classification(半教師の画像分類),半学者の画像分類は、分類されたデータと分類パフォーマンスを向上させるためにラベル付けされたデータとラベル付けされたデータをレバレッジします。,https://paperswithcode.com/task/semi-supervised-image-classification
79,Stereo Matching(ステレオマッチング),ステレオマッチングは、2D画像から実世界の3D構造を回復するコンピュータービジョンのコアテクノロジーの1つです。,https://paperswithcode.com/task/stereo-matching-1
80,Video Prediction(ビデオ予測),ビデオ予測は、過去のビデオフレームが与えられた将来のフレームを予測するタスクです。,https://paperswithcode.com/task/video-prediction
81,Visual Object Tracking(視覚的なオブジェクト追跡),視覚オブジェクト追跡は、コンピュータービジョン、画像理解、パターン認識における重要な研究トピックです。,https://paperswithcode.com/task/visual-object-tracking
82,Age Estimation(年齢の推定),年齢の推定は、画像から人の年齢を他の種類のデータから推定するタスクです。,https://paperswithcode.com/task/age-estimation
83,Autonomous Vehicles(自動運転車),自動運転車は、人間の伝導なしで自分自身を導くことができる車両を作るタスクです。,https://paperswithcode.com/task/autonomous-vehicles
84,Denoising(除去),除去は、画像処理とコンピュータービジョンのタスクであり、画像からノイズを削除または削減することを目的としています。,https://paperswithcode.com/task/denoising
85,Human-Object Interaction Detection(ヒトとオブジェクトの相互作用検出),ヒトとオブジェクトの相互作用（HOI）検出は、イメージの「相互作用のセット」を識別するタスクです。,https://paperswithcode.com/task/human-object-interaction-detection
86,Image Segmentation(画像セグメンテーション),画像セグメンテーションは、画像を複数のセグメントまたは領域に分割することを含むコンピュータービジョンタスクであり、それぞれが異なるオブジェクトまたはオブジェクトの一部に対応します。,https://paperswithcode.com/task/image-segmentation
87,Scene Classification(シーン分類),シーン分類は、写真のシーンがカテゴリー的に分類されるタスクです。,https://paperswithcode.com/task/scene-classification
88,Simultaneous Localization and Mapping(同時ローカリゼーションとマッピング),同時ローカリゼーションとマッピング（SLAM）は、不明な環境のマップを構築または更新しながら、同時にその中のエージェントの位置を追跡するタスクです。,https://paperswithcode.com/task/simultaneous-localization-and-mapping
89,Skeleton Based Action Recognition(スケルトンベースのアクション認識),スケルトンベースのアクション認識は、Microsoft Kinect、Intel RealSense、ウェアラブルデバイスなどのセンサーからキャプチャされた一連の3D骨格ジョイントデータから人間のアクションを認識することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/skeleton-based-action-recognition
90,Trajectory Prediction(軌跡予測),軌道予測は、車、バス、歩行者、人力車、動物などのさまざまな道路材の短期（1〜3秒）および長期（3〜5秒）の空間座標を予測する問題です。,https://paperswithcode.com/task/trajectory-prediction
92,3D Hand Pose Estimation(3Dハンドポーズ推定),画像：Zimmerman et l,https://paperswithcode.com/task/3d-hand-pose-estimation
93,Common Sense Reasoning(常識推論),常識推論タスクは、モデルがパターン認識を超えることを要求することを目的としています。,https://paperswithcode.com/task/common-sense-reasoning
94,Gaze Estimation(視線の推定),視線の推定は、人の顔を与えられた人がどこを見ているかを予測するタスクです。,https://paperswithcode.com/task/gaze-estimation
95,Image Compression(画像圧縮),画像圧縮は、デジタル画像のデータ圧縮のアプリケーションであり、ストレージを下げ、,https://paperswithcode.com/task/image-compression
96,Multi-Object Tracking(マルチオブジェクト追跡),マルチオブジェクトトラッキングは、ビデオシーケンス内で複数のオブジェクトの検出と追跡を伴うコンピュータービジョンのタスクです。,https://paperswithcode.com/task/multi-object-tracking
97,Object Detection In Indoor Scenes(屋内シーンでのオブジェクト検出),屋内シーンでのオブジェクト検出は、屋内環境内でオブジェクト検出を実行するタスクです。,https://paperswithcode.com/task/object-detection-in-indoor-scenes
98,RGB Salient Object Detection(RGB顕著なオブジェクト検出),RGB Salientオブジェクト検出は、視覚的な注意メカニズムに基づいたタスクベースであり、アルゴリズムは、シーンまたはRGB画像の周囲の領域よりも注意深いオブジェクトまたは領域を探索することを目的としています。,https://paperswithcode.com/task/salient-object-detection
99,Scene Text Detection(シーンテキストの検出),シーンテキストの検出は、自然な画像やビデオ内のテキストを自動的に識別およびローカライズすることを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/scene-text-detection
100,Text-to-Image Generation(テキストから画像への生成),テキストから画像の生成は、特定のテキスト説明に対応する画像を生成することを目標とするコンピュータービジョンと自然言語処理のタスクです。,https://paperswithcode.com/task/text-to-image-generation
101,Vehicle Re-Identification(車両の再識別),車両の再識別は、複数のカメラで同じ車両を識別するタスクです。,https://paperswithcode.com/task/vehicle-re-identification
102,Video Object Segmentation(ビデオオブジェクトセグメンテーション),ビデオオブジェクトのセグメンテーションは、ビデオの背景領域から前景オブジェクトを分離することを目的としたバイナリラベリングの問題です。,https://paperswithcode.com/task/video-object-segmentation
103,Video Understanding(ビデオ理解),ビデオ理解の重要なタスクは、ビデオに表示されるさまざまなアクションまたはイベントを（空間と時間で）認識してローカライズすることです。,https://paperswithcode.com/task/video-understanding
104,Visual Place Recognition(視覚的な場所認識),視覚的な場所の認識は、別の時間に撮影された同じ場所の異なるビューで、場所のビューを一致させるタスクです。,https://paperswithcode.com/task/visual-place-recognition
105,Weakly Supervised Object Detection(監視されたオブジェクトの検出),弱く監視されたオブジェクト検出（WSOD）は、画像タグの監視のみを備えたオブジェクト検出器をトレーニングするタスクです。,https://paperswithcode.com/task/weakly-supervised-object-detection
106,3D Face Reconstruction(3Dフェイスの再構築),3Dフェイス再構築は、2D画像または一連の画像から人間の顔の3Dモデルを作成することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/3d-face-reconstruction
107,3D Instance Segmentation(3Dインスタンスセグメンテーション),画像：Occuseg,https://paperswithcode.com/task/3d-instance-segmentation-1
108,3D Semantic Segmentation(3Dセマンティックセグメンテーション),3Dセマンティックセグメンテーションは、3Dポイントクラウドまたは3Dメッシュを意味的に意味のある部品または領域に分割することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/3d-semantic-segmentation
109,Computed Tomography (CT)(コンピューター断層撮影（CT）),「コンピューター断層撮影」という用語（CT）は、X線の狭いビームが患者を対象とし、体の周りを素早く回転させ、マシンのコンピューターによって処理される信号を生成するコンピューター化されたX線イメージング手順を指します。,https://paperswithcode.com/task/computed-tomography-ct
110,Decision Making(意思決定),意思決定は、異なるソースから、およびさまざまなレベルの確実性で（異なるレベルの抽象化の）データを分析し、他のデータソースよりも多くのデータソースを比較検討することで情報をマージし、可能な限りすべてを探索することによって結論に到達する複雑なタスクです。,https://paperswithcode.com/task/decision-making
111,Generalized Zero-Shot Learning(一般化されたゼロショット学習),このタスクには説明がありません！,https://paperswithcode.com/task/generalized-zero-shot-learning
112,Gesture Recognition(ジェスチャー認識),ジェスチャー認識は、手話の自動認識、人間とロボットの相互作用、またはビデオゲームを制御する新しい方法などのアプリケーションを使用した積極的な研究分野です。,https://paperswithcode.com/task/gesture-recognition
113,Handwriting generation(手書きの生成),手書き認識の逆。,https://paperswithcode.com/task/handwriting-generation
114,Handwritten Text Recognition(手書きのテキスト認識),このタスクには説明がありません！,https://paperswithcode.com/task/handwritten-text-recognition
115,Image Registration(画像登録),画像登録は、さまざまなデータセットを1つの座標系に変換するプロセスです。,https://paperswithcode.com/task/image-registration
116,Image Restoration(画像の復元),画像修復は、破損した入力画像から高品質の画像を取得するための逆の問題のファミリーです。,https://paperswithcode.com/task/image-restoration
117,Lane Detection(レーン検出),レーン検出は、道路シーンのビデオまたは画像で車線を駆動する境界を識別することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/lane-detection
118,Medical Diagnosis(医療診断),医学的診断は、特定の危険因子、兆候、症状、および試験結果の評価に基づいて、患者が影響を受ける疾患を特定するプロセスです。,https://paperswithcode.com/task/medical-diagnosis
119,Multimodal Deep Learning(マルチモーダルディープラーニング),マルチモーダルディープラーニングは、テキスト、画像、オーディオ、ビデオなどの複数のモダリティからの情報を組み合わせて、より正確で包括的な予測を行う一種のディープラーニングです。,https://paperswithcode.com/task/multimodal-deep-learning
120,Out-of-Distribution Detection(分散除外検出),分散または異常な例を検出します。,https://paperswithcode.com/task/out-of-distribution-detection
121,Prompt Engineering(迅速なエンジニアリング),プロンプトエンジニアリングは、言語モデルから情報をより効率的に抽出するための多数のプロンプトを作成する慣行です。,https://paperswithcode.com/methods/category/prompt-engineering
122,Small Data Image Classification(小さなデータ画像分類),数百から数百のラベル付きトレーニングの例を使用した教師付き画像分類。,https://paperswithcode.com/task/small-data
123,Style Transfer(スタイル転送),スタイル転送は、ある画像のコンテンツを別の画像のスタイルと組み合わせることにより、新しい画像を生成することを含むコンピュータービジョンとグラフィックスの手法です。,https://paperswithcode.com/task/style-transfer
124,Text Generation(テキスト生成),テキスト生成は、人間が作成したテキストと見分けがつかないように見えることを目指して、テキストを生成するタスクです。,https://paperswithcode.com/task/text-generation
125,Transfer Learning(転送学習),転送学習は、1つのタスクでトレーニングされたモデルが再利用され、関連するが異なるタスクのために微調整されている機械学習手法です。,https://paperswithcode.com/task/transfer-learning
126,Tumor Segmentation(腫瘍のセグメンテーション),腫瘍のセグメンテーションは、腫瘍の空間的位置を特定するタスクです。,https://paperswithcode.com/task/tumor-segmentation
127,Unsupervised Semantic Segmentation(監視されていないセマンティックセグメンテーション),グラウンドトゥルースラベルを表示せずに、各画像をセグメント化することを学ぶ（つまり、すべてのピクセルにクラスを割り当てる）モデル。,https://paperswithcode.com/task/unsupervised-semantic-segmentation
128,Visual Navigation(視覚ナビゲーション),視覚ナビゲーションは、エージェントをナビゲートする問題です。,https://paperswithcode.com/task/visual-navigation
129,Animal Pose Estimation(動物のポーズ推定),動物のポーズ推定は、動物のポーズを特定するタスクです。,https://paperswithcode.com/task/animal-pose-estimation
130,Color Image Denoising(カラー画像除去),このタスクには説明がありません！,https://paperswithcode.com/task/color-image-denoising
131,Conditional Image Generation(条件付き画像生成),条件付き画像生成は、クラスを条件とするデータセットから新しい画像を生成するタスクです。,https://paperswithcode.com/task/conditional-image-generation
132,Disaster Response(災害対応),このタスクには説明がありません！,https://paperswithcode.com/task/disaster-response
133,Fine-Grained Image Recognition(細粒の画像認識),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-image-recognition
134,Generalizable Person Re-identification(一般化可能な人の再識別),一般化可能な人の再識別とは、ソースデータセットでトレーニングされた方法を指しますが、ドメインの適応または転送学習なしでターゲットデータセットで直接評価されます。,https://paperswithcode.com/task/generalizable-person-re-identification
135,Human Detection(人間の検出),このタスクには説明がありません！,https://paperswithcode.com/task/human-detection
136,Human Part Segmentation(人間の部分セグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/human-part-segmentation
137,Image Dehazing(画像の脱線),（画像クレジット：密に接続されたピラミッド脱hazingネットワーク）,https://paperswithcode.com/task/image-dehazing
138,Image Enhancement(画像強化),画像の強化は、基本的に、人間の視聴者向けの画像の情報の解釈性または認識を改善し、他の自動化された画像処理技術に「より良い」入力を提供しています。,https://paperswithcode.com/task/image-enhancement
139,Keypoint Detection(キーポイント検出),キーポイント検出には、同時に人を検出し、キーポイントをローカライズすることが含まれます。,https://paperswithcode.com/task/keypoint-detection
140,Lesion Classification(病変分類),このタスクには説明がありません！,https://paperswithcode.com/task/lesion-classification
141,License Plate Recognition(ナンバープレートの認識),このタスクには説明がありません！,https://paperswithcode.com/task/license-plate-recognition
142,Low-Light Image Enhancement(低光画像の強化),低光画像の強化は、低照度条件下でキャプチャされた画像の品質を改善することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/low-light-image-enhancement
143,Real-Time Object Detection(リアルタイムオブジェクトの検出),リアルタイムオブジェクトの検出は、基本レベルの精度を維持しながら、高速推論を備えたリアルタイムビデオシーケンスで関心のあるオブジェクトを識別して特定することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/real-time-object-detection
144,Real-Time Semantic Segmentation(リアルタイムセマンティックセグメンテーション),セマンティックセグメンテーションは、画像内の各ピクセルにセマンティックラベルを割り当てることを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/real-time-semantic-segmentation
145,Relational Reasoning(リレーショナル推論),リレーショナル推論の目標は、画像ピクセル、単語や文、人間のスケルトン、インタラクティブな移動エージェントなど、さまざまなエンティティ間の関係を把握することです。,https://paperswithcode.com/task/relational-reasoning
146,Robust Object Detection(堅牢なオブジェクト検出),のベンチマーク：オブジェクト検出モデルの堅牢性腐敗と歪みを画像化する,https://paperswithcode.com/task/robust-object-detection
147,Stochastic Optimization(確率的最適化),確率的最適化方法は、ニューラルネットワークを最適化するために使用されます。,https://paperswithcode.com/methods/category/stochastic-optimization
148,Surface Normals Estimation(表面正常推定),表面通常の推定は、シーン内に存在するオブジェクトの表面向きを予測するタスクを扱います。,https://paperswithcode.com/task/surface-normals-estimation
149,Table Detection(テーブル検出),画像クレジット：野生のテーブル検出：新しい多様なテーブル検出データセットと方法,https://paperswithcode.com/task/table-detection
150,Text Classification(テキスト分類),テキスト分類は、文または文書を適切なカテゴリに割り当てるタスクです。,https://paperswithcode.com/task/text-classification
151,Unsupervised Semantic Segmentation with Language-image Pre-training(言語イメージの事前トレーニングによる監視されていないセマンティックセグメンテーション),画像レベルのラベルで事前に訓練された機能で初期化されたバックボーンを除き、セマンティックセグメンテーションのために人間レベルの監督を使用しないセグメンテーションタスク。,https://paperswithcode.com/task/unsupervised-semantic-segmentation-with
152,Visual Commonsense Reasoning(視覚的な常識的な推論),画像ソース：Visual Commonsense推論,https://paperswithcode.com/task/visual-commonsense-reasoning
