idx,タスク,概要,url
37,Instance Segmentation(インスタンスセグメンテーション),インスタンスセグメンテーションは、各オブジェクトの境界を検出したり、各オブジェクトに一意のラベルを割り当てるなど、画像内の個々のオブジェクトを識別および分離することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/instance-segmentation
38,Multiple Object Tracking(複数のオブジェクトトラッキング),複数のオブジェクトトラッキングは、ビデオ内の複数のオブジェクトを自動的に識別し、それらを高い精度で軌跡のセットとして表現する問題です。,https://paperswithcode.com/task/multiple-object-tracking
39,Optical Flow Estimation(光フロー推定),光フロー推定は、画像またはビデオシーケンスでオブジェクトの動きを計算することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/optical-flow-estimation
40,Video Generation(ビデオ生成),（さまざまなビデオ生成タスク。GIFクレジット：Magvit）,https://paperswithcode.com/task/video-generation
41,Video Segmentation(ビデオセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/video-segmentation
42,3D Action Recognition(3Dアクション認識),画像：Rahmani et al,https://paperswithcode.com/task/3d-human-action-recognition
43,Ad-hoc video search(アドホックビデオ検索),アドホック検索タスクは、2016年から2018年までの3年サイクルを終了し、エンドユーザー検索ユースケースをモデル化する目標で終了しました。,https://paperswithcode.com/task/ad-hoc-video-search
44,Audio Classification(オーディオ分類),オーディオ分類は、オーディオ信号の識別とタグ付けをさまざまなクラスまたはカテゴリに識別してタグ付けする機械学習タスクです。,https://paperswithcode.com/task/audio-classification
45,Depth Estimation(深度推定),深さの推定は、カメラに対する各ピクセルの距離を測定するタスクです。,https://paperswithcode.com/task/depth-estimation
46,Face Anti-Spoofing(顔を引き起こします),顔のスプーフィングは、写真、ビデオ、マスク、または認可された人の顔の別の代替品を使用して、誤った顔の検証を防ぐタスクです。,https://paperswithcode.com/task/face-anti-spoofing
47,Face Recognition(顔認識),顔認識は、既存の顔のデータベースに対して写真またはビデオ画像で顔を肯定的に識別するタスクです。,https://paperswithcode.com/task/face-recognition
48,Multi-Task Learning(マルチタスク学習),マルチタスク学習は、1つまたはすべてのタスクのパフォーマンスを最大化しながら、複数の異なるタスクを同時に学習することを目的としています。,https://paperswithcode.com/task/multi-task-learning
49,Self-Supervised Learning(自己教師の学習),自己教師の学習とは、自己教師の方法で表現を学習する方法のカテゴリーを指します（つまり、ラベルなし）。,https://paperswithcode.com/methods/category/self-supervised-learning
50,Semi-Supervised Video Object Segmentation(半教師のビデオオブジェクトセグメンテーション),半監視されたシナリオは、ユーザーがビデオシーケンスの最初のフレームに関心のあるオブジェクトの完全なマスクを入力することを想定しています。,https://paperswithcode.com/task/semi-supervised-video-object-segmentation
51,Sign Language Translation(手話の翻訳),手話を含むビデオを考えると、タスクは（書かれた）話し言葉への翻訳を予測することです。,https://paperswithcode.com/task/sign-language-translation
52,Unsupervised Video Object Segmentation(監視されていないビデオオブジェクトセグメンテーション),監視されていないシナリオは、ユーザーがアルゴリズムと対話してセグメンテーションマスクを取得しないことを前提としています。,https://paperswithcode.com/task/unsupervised-video-object-segmentation
53,Video Object Detection(ビデオオブジェクトの検出),ビデオオブジェクトの検出は、画像ではなくビデオからオブジェクトを検出するタスクです。,https://paperswithcode.com/task/video-object-detection
54,Video Object Tracking(ビデオオブジェクトトラッキング),ビデオオブジェクト検出は、空間情報と時間的情報の両方を使用して、ビデオのターゲットを検出することを目的としています。,https://paperswithcode.com/task/video-object-tracking
55,Video Quality Assessment(ビデオ品質評価),このタスクには説明がありません！,https://paperswithcode.com/task/video-quality-assessment
56,3D Object Detection(3Dオブジェクト検出),3Dオブジェクトの検出は、コンピュータービジョンのタスクであり、目標は、その形状、場所、および向きに基づいて3D環境のオブジェクトを識別して見つけることです。,https://paperswithcode.com/task/3d-object-detection
57,3D Pose Estimation(3Dポーズ推定),画像クレジット：GSNET：幾何学的およびシーン認識監督によるジョイントビークルのポーズと形状の再構築、ECCV'20,https://paperswithcode.com/task/3d-pose-estimation
58,Action Quality Assessment(アクション品質評価),評価,https://paperswithcode.com/task/action-quality-assessment
59,Emotion Recognition(感情認識),感情認識は、効果的な人間コンピューターの相互作用を可能にする研究の重要な分野です。,https://paperswithcode.com/task/emotion-recognition
60,Face Detection(顔検出),フェイス検出は、デジタル画像やビデオ内の人間の顔を自動的に識別して見つけることを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/face-detection
61,Face Swapping(顔交換),フェイススワッピングとは、身体と環境の文脈の残りを維持しながら、画像間またはビデオで顔を交換するタスクを指します。,https://paperswithcode.com/task/face-swapping
62,Hand Gesture Recognition(ハンドジェスチャー認識),このタスクには説明がありません！,https://paperswithcode.com/task/hand-gesture-recognition
63,Hand Pose Estimation(ハンドポーズの推定),ハンドポーズの推定は、ビデオフレームの画像またはセットから手の関節を見つけるタスクです。,https://paperswithcode.com/task/hand-pose-estimation
64,Lipreading(読唇術),リップリーディングは、音が存在しない場合にスピーカーの唇の動きを見ることにより、音声を抽出するプロセスです。,https://paperswithcode.com/task/lipreading
65,Multimodal Activity Recognition(マルチモーダルアクティビティ認識),このタスクには説明がありません！,https://paperswithcode.com/task/multimodal-activity-recognition
66,Scene Understanding(シーンの理解),シーンの理解は、シーンを理解するものです。,https://paperswithcode.com/task/scene-understanding
67,Video Instance Segmentation(ビデオインスタンスセグメンテーション),ビデオインスタンスのセグメンテーションの目標は、ビデオのインスタンスの同時検出、セグメンテーション、追跡です。,https://paperswithcode.com/task/video-instance-segmentation
68,Zero-Shot Video Retrieval(ゼロショットビデオ検索),このタスクには説明がありません！,https://paperswithcode.com/task/zero-shot-video-retrieval
69,2D Semantic Segmentation(2Dセマンティックセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/2d-semantic-segmentation
70,2D object detection(2Dオブジェクト検出),このタスクには説明がありません！,https://paperswithcode.com/task/2d-object-detection
71,3D Reconstruction(3D再構成),ナンがあります,https://paperswithcode.com/methods/category/3d-reconstruction
72,Decision Making(意思決定),意思決定は、異なるソースから、およびさまざまなレベルの確実性で（異なるレベルの抽象化の）データを分析し、他のデータソースよりも多くのデータソースを比較検討することで情報をマージし、可能な限りすべてを探索することによって結論に到達する複雑なタスクです。,https://paperswithcode.com/task/decision-making
73,Dense Video Captioning(密なビデオキャプション),ほとんどの自然なビデオには、多数のイベントが含まれています。,https://paperswithcode.com/task/dense-video-captioning
74,Face Verification(顔の検証),顔の検証は、2つの顔の画像が同じ人に属しているかどうかを判断することを含む、コンピュータービジョンの機械学習タスクです。,https://paperswithcode.com/task/face-verification
75,Human action generation(人間のアクションジェネレーション),Yan et al。,https://paperswithcode.com/task/human-action-generation
76,Object Localization(オブジェクトのローカリゼーション),オブジェクトのローカリゼーションは、通常、インスタンスを中心としたしっかりとトリミングされた境界ボックスを指定することにより、画像内の特定のオブジェクトカテゴリのインスタンスを見つけるタスクです。,https://paperswithcode.com/task/object-localization
77,Object Recognition(オブジェクト認識),オブジェクト認識は、画像やビデオのオブジェクトの分類を検出するためのコンピュータービジョン技術です。,https://paperswithcode.com/task/object-recognition
78,Online Multi-Object Tracking(オンラインマルチオブジェクトトラッキング),オンラインマルチオブジェクトトラッキングの目標は、オンラインビデオストリーム内の複数のオブジェクトの時空間的軌跡（つまり、ビデオがフレームごとに提供される）を推定することです。これは、多数のリアルタイムアプリケーションの基本的な問題です。,https://paperswithcode.com/task/online-multi-object-tracking
79,Spatio-Temporal Action Localization(時空間的アクションローカリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/spatio-temporal-action-localization
80,Speaker Recognition(スピーカーの認識),スピーカーの認識とは、スピーチセグメントを与えられた人の身元を特定または確認するプロセスです。,https://paperswithcode.com/task/speaker-recognition
81,Unsupervised Domain Adaptation(監視されていないドメインの適応),監視されていないドメインの適応は、ソースドメインから学んだ知識を、多くの注釈付きトレーニングの例を使用して、標的ドメインのみをターゲットにしていないデータのみを導入するための学習フレームワークです。,https://paperswithcode.com/task/unsupervised-domain-adaptation
82,Video Frame Interpolation(ビデオフレーム補間),ナンがあります,https://paperswithcode.com/methods/category/video-frame-interpolation
83,Video Inpainting(ビデオインペインティング),ビデオインペインティングの目標は、特定のビデオシーケンスの欠落している領域を、空間的および時間的にコヒーレントの両方の内容を記入することです。,https://paperswithcode.com/task/video-inpainting
84,Video Recognition(ビデオ認識),ビデオ認識とは、視覚ソースから受信したデータ、特にビデオを取得、処理、分析するプロセスです。,https://paperswithcode.com/task/video-recognition
85,Video Super-Resolution(ビデオ超解像度),ビデオスーパー解像度は、ビデオシーケンスの解像度を増やすことを目的としたコンピュータービジョンタスクです。通常は、通常は低解像度から高解像度になります。,https://paperswithcode.com/task/video-super-resolution
86,Zero-Shot Action Recognition(ゼロショットアクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/zero-shot-action-recognition
87,2D Human Pose Estimation(2Dヒューマンポーズ推定),人間のポーズ推定とは何ですか？,https://paperswithcode.com/task/2d-human-pose-estimation
88,3D Hand Pose Estimation(3Dハンドポーズ推定),画像：Zimmerman et l,https://paperswithcode.com/task/3d-hand-pose-estimation
89,3D Object Tracking(3Dオブジェクト追跡),このタスクには説明がありません！,https://paperswithcode.com/task/3d-object-tracking
90,Action Anticipation(アクションの期待),次のアクションの予想は、1、...、tフレームを観察し、T_A秒のギャップ後に発生するアクションを予測することとして定義されます。,https://paperswithcode.com/task/action-anticipation
91,Action Triplet Recognition(アクショントリプレット認識),対象動詞とオブジェクトの三重項としてアクションを認識します。,https://paperswithcode.com/task/action-triplet-recognition
92,Action Understanding(アクション理解),このタスクには説明がありません！,https://paperswithcode.com/task/action-understanding
93,Anomaly Detection In Surveillance Videos(監視ビデオでの異常検出),このタスクには説明がありません！,https://paperswithcode.com/task/anomaly-detection-in-surveillance-videos
94,Audio-Visual Speech Recognition(音声視聴覚音声認識),視聴覚音声認識は、ペアのオーディオとビジュアルストリームをテキストに転写するタスクです。,https://paperswithcode.com/task/audio-visual-speech-recognition
95,Crowd Counting(群衆の数),群衆のカウントは、イメージの人々を数えるタスクです。,https://paperswithcode.com/task/crowd-counting
96,Deblurring(デブラー),DeBluringは、画像やビデオからぼやけたアーティファクトを削除して、元のシャープなコンテンツを復元するコンピュータービジョンタスクです。,https://paperswithcode.com/task/deblurring
97,Disentanglement(解体),これは、主要な問題の基礎構造をその表現のばらばらの部分に解き放つ（または分離する）ことにより、データ効率的な方法で一連のタスクを解決するためのアプローチです。,https://paperswithcode.com/task/disentanglement
98,Domain Adaptation(ドメインの適応),ナンがあります,https://paperswithcode.com/methods/category/domain-adaptation
99,Emotion Classification(感情分類),感情分類、または感情分類は、感情を認識して対応するカテゴリに分類するタスクです。,https://paperswithcode.com/task/emotion-classification
100,Emotion Recognition in Conversation(会話の感情認識),会話の転写と各構成要素の発話の話者情報を考えると、ERCタスクは、いくつかの事前に定義された感情から各発話の感情を特定することを目的としています。,https://paperswithcode.com/task/emotion-recognition-in-conversation
101,Gesture Recognition(ジェスチャー認識),ジェスチャー認識は、手話の自動認識、人間とロボットの相互作用、またはビデオゲームを制御する新しい方法などのアプリケーションを使用した積極的な研究分野です。,https://paperswithcode.com/task/gesture-recognition
102,Human Detection(人間の検出),このタスクには説明がありません！,https://paperswithcode.com/task/human-detection
103,Image Classification(画像分類),画像分類は、画像全体を全体として理解しようとする基本的なタスクです。,https://paperswithcode.com/task/image-classification
104,Image Generation(画像生成),画像生成（合成）は、既存のデータセットから新しい画像を生成するタスクです。,https://paperswithcode.com/task/image-generation
105,Interactive Video Object Segmentation(インタラクティブなビデオオブジェクトセグメンテーション),インタラクティブなシナリオでは、ユーザーが、この場合は、詐欺師の形式で、興味のあるオブジェクトをセグメント化するために、アルゴリズムに反復的な改良入力を提供することを想定しています。,https://paperswithcode.com/task/interactive-video-object-segmentation
106,Lane Detection(レーン検出),レーン検出は、道路シーンのビデオまたは画像で車線を駆動する境界を識別することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/lane-detection
107,Lip Reading(リップリーディング),リップリーディングは、視覚情報、特に唇の動きのみを使用して、ビデオの音声コンテンツを推測するタスクです。,https://paperswithcode.com/task/lip-reading
108,Moment Retrieval(モーメント検索),モーメント検索は、「ユーザーのクエリが与えられたビデオにモーメントをローカライズする」というタスクとして定義される可能性があります。,https://paperswithcode.com/task/moment-retrieval
109,Motion Segmentation(モーションセグメンテーション),モーションセグメンテーションは、監視、アクション認識、シーンの理解など、コンピュータービジョンやロボット工学の多くのアプリケーションで重要なタスクです。,https://paperswithcode.com/task/motion-segmentation
110,Novel View Synthesis(新規ビュー統合),指定されたソース画像とそのカメラポーズから任意のターゲットカメラのポーズでターゲット画像を合成します。,https://paperswithcode.com/task/novel-view-synthesis
111,Person Search(人の検索),人の検索は、多くのシーン画像の中で特定の人を一致させることを目的とするタスクです。,https://paperswithcode.com/task/person-search
112,Pose Tracking(ポーズトラッキング),ポーズトラッキングは、ビデオでマルチパーソンの人間のポーズを推定し、各キーポイントにフレーム間で一意のインスタンスIDを割り当てるタスクです。,https://paperswithcode.com/task/pose-tracking
113,Real-Time Object Detection(リアルタイムオブジェクトの検出),リアルタイムオブジェクトの検出は、基本レベルの精度を維持しながら、高速推論を備えたリアルタイムビデオシーケンスで関心のあるオブジェクトを識別して特定することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/real-time-object-detection
114,Self-Supervised Action Recognition(自己教師のアクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/self-supervised-action-recognition
115,Temporal Action Proposal Generation(一時的な行動提案生成),このタスクには説明がありません！,https://paperswithcode.com/task/temporal-action-proposal-generation
116,Video Description(ビデオの説明),自動ビデオの説明の目標は、ビデオで起こっているイベントについてのストーリーを伝えることです。,https://paperswithcode.com/task/video-description
117,Visual Speech Recognition(視覚的な音声認識),このタスクには説明がありません！,https://paperswithcode.com/task/visual-speech-recognition
118,3D Absolute Human Pose Estimation(3D絶対人間のポーズ推定),このタスクは、絶対（カメラ中心の根相対的ではない）3Dヒトポーズ推定を解決することを目的としています。,https://paperswithcode.com/task/3d-absolute-human-pose-estimation
119,Abnormal Event Detection In Video(ビデオでの異常なイベント検出),ビデオでの異常なイベントの検出は、異常なイベントがどのように見えるかの定義はコンテキストに大きく依存するため、コンピュータービジョンの挑戦的なタスクです。,https://paperswithcode.com/task/abnormal-event-detection-in-video
120,Autonomous Vehicles(自動運転車),自動運転車は、人間の伝導なしで自分自身を導くことができる車両を作るタスクです。,https://paperswithcode.com/task/autonomous-vehicles
121,Camera shot boundary detection(カメラショットの境界検出),カメラショットの境界検出の目的は、ビデオ内のカメラショット間の遷移を見つけ、カメラの遷移の種類を分類することです。,https://paperswithcode.com/task/camera-shot-boundary-detection
122,Classification(分類),分類は、データのセットを事前定義されたクラスまたはグループに分類するタスクです。,https://paperswithcode.com/task/classification-1
123,Dialect Identification(方言の識別),方言アラビア語の識別,https://paperswithcode.com/task/dialect-identification
124,Early Action Prediction(早期アクション予測),このタスクには説明がありません！,https://paperswithcode.com/task/early-action-prediction
125,Face Presentation Attack Detection(フェイスプレゼンテーション攻撃の検出),このタスクには説明がありません！,https://paperswithcode.com/task/face-presentation-attack-detection
126,Facial Action Unit Detection(フェイシャルアクションユニットの検出),フェイシャルアクションユニットの検出は、顔のビデオからアクションユニットを検出するタスクです。たとえば、唇の引き締めや頬の飼育です。,https://paperswithcode.com/task/facial-action-unit-detection
127,Facial Emotion Recognition(顔の感情認識),顔の画像からの感情認識,https://paperswithcode.com/task/facial-emotion-recognition
128,Few Shot Action Recognition(ショットアクション認識はほとんどありません),少数のショット（FS）アクション認識は、挑戦的なコンピュータービジョンの問題であり、タスクは、アクションクラスごとにサンプルが制限されているサポートセットのアクションカテゴリの1つに分類されていないクエリビデオを分類することです。,https://paperswithcode.com/task/few-shot-action-recognition
129,Gait Recognition(歩行認識),（画像クレジット：Gaitset：Gaitをクロスビューゲート認識のセットと見なしてください）,https://paperswithcode.com/task/gait-recognition
130,Human Behavior Forecasting(人間の行動予測),このタスクには説明がありません！,https://paperswithcode.com/task/human-behavior-forecasting
131,Human Interaction Recognition(人間の相互作用認識),人間の相互作用認識（HIR）は、ビデオ、画像、またはその他のマルチメディアコンテンツでの人間の相互作用を検出および認識するためのコンピューターアルゴリズムの開発を含む研究分野です。,https://paperswithcode.com/task/human-interaction-recognition
132,Human Pose Forecasting(人間のポーズ予測),人間のポーズ予測は、将来の人間のポーズを検出して予測するタスクです。,https://paperswithcode.com/task/human-pose-forecasting
133,Image Inpainting(画像の入力),画像の開始は、画像内の欠落している領域を再構築するタスクです。,https://paperswithcode.com/task/image-inpainting
134,Medical Image Segmentation(医療画像セグメンテーション),医療画像セグメンテーションは、医療画像を複数のセグメントに分割することを含むコンピュータービジョンタスクであり、各セグメントは画像の関心のある異なるオブジェクトまたは構造を表します。,https://paperswithcode.com/task/medical-image-segmentation
135,Monocular Depth Estimation(単眼深度推定),単眼深度推定は、単一の（単眼の）RGB画像を与えられた各ピクセルの深さ値（カメラに対する距離）を推定するタスクです。,https://paperswithcode.com/task/monocular-depth-estimation
136,Motion Forecasting(モーション予測),モーション予測は、将来追跡されたオブジェクトの位置を予測するタスクです,https://paperswithcode.com/task/motion-forecasting
137,Multi-Label Classification(マルチラベル分類),マルチラベル分類は、インスタンスが複数のラベルに関連付けられる可能性のある監視された学習問題です。,https://paperswithcode.com/task/multi-label-classification
138,Multimodal Sentiment Analysis(マルチモーダル感情分析),マルチモーダル感情分析は、複数のデータソースを使用して感情分析を実行するタスクです。,https://paperswithcode.com/task/multimodal-sentiment-analysis
139,Multiple Instance Learning(複数のインスタンス学習),複数のインスタンス学習は、トレーニングデータがバッグに配置され、各バッグに一連のインスタンスが含まれる弱く監視されている学習アルゴリズムの一種です。,https://paperswithcode.com/task/multiple-instance-learning
140,Natural Language Moment Retrieval(自然言語モーメントの検索),このタスクには説明がありません！,https://paperswithcode.com/task/natural-language-moment-retrieval
141,Panoptic Segmentation(パノプティックセグメンテーション),パノプティックセグメンテーションは、セマンティックセグメンテーションとインスタンスセグメンテーションを組み合わせて、シーンの包括的な理解を提供するコンピュータービジョンタスクです。,https://paperswithcode.com/task/panoptic-segmentation
142,Pedestrian Detection(歩行者の検出),歩行者の検出は、カメラから歩行者を検出するタスクです。,https://paperswithcode.com/task/pedestrian-detection
143,Pose Prediction(予測のポーズ),ポーズ予測は、以前のポーズのウィンドウを考慮して、将来のポーズを予測することです。,https://paperswithcode.com/task/pose-prediction
144,Quantization(量子化),量子化は、ニューラルネットワークトレーニングの計算コストを削減するための有望な手法であり、高コストの浮動小数点数（たとえば、FLOAT32）を低コストの固定点数（例：INT8に置き換えることができます,https://paperswithcode.com/task/quantization
145,Real-Time Multi-Object Tracking(リアルタイムマルチオブジェクトトラッキング),オンラインアプローチでは、オンラインおよびリアルタイムのマルチオブジェクトトラッキングは、1秒あたり30フレームを超えるリアルタイム速度を達成します。,https://paperswithcode.com/task/real-time-multi-object-tracking
146,Referring Expression Segmentation(参照式セグメンテーション),タスクの目的は、言語式で言及されているオブジェクトインスタンスを表す画像またはビデオのピクセルにラベルを付けることを目的としています。,https://paperswithcode.com/task/referring-expression-segmentation
147,Small Object Detection(小さなオブジェクトの検出),小さなオブジェクトの検出は、画像やビデオで小さなオブジェクトを検出およびローカライズすることを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/small-object-detection
148,Speech Separation(音声分離),特定の混合音声信号ですべての重複する音声源を抽出するタスクは、音声分離を指します。,https://paperswithcode.com/task/speech-separation
149,Supervised Video Summarization(監視されたビデオ要約),監視されたビデオの要約は、人間標識の根本的な注釈を持つデータセットに依存しています（Summeデータセットの場合のようにビデオ要約の形式、またはTVSumの場合のようにフレームレベルの重要なスコアの形で依存しています,https://paperswithcode.com/task/supervised-video-summarization
150,Text to Video Retrieval(ビデオ検索からテキスト),このタスクには説明がありません！,https://paperswithcode.com/task/text-to-video-retrieval
151,Text-to-Video Generation(テキストからビデオへの生成),このタスクとは、特定の文または一連の単語に基づいたビデオ生成を指します。,https://paperswithcode.com/task/text-to-video-generation
152,Trajectory Forecasting(軌跡予測),軌道予測は、過去の軌跡と過去の軌跡に基づいて、シーン内のすべての移動剤（人間、車両など）の将来の軌跡を予測モデルを予測する順次予測タスクです。,https://paperswithcode.com/task/trajectory-forecasting
153,Unconstrained Lip-synchronization(制約のない唇同期),arbitrary意的な人のビデオとarbitrary意的な運転スピーチを考えると、タスクは、指定されたスピーチに一致する唇のシンクスビデオを生成することです。,https://paperswithcode.com/task/lip-sync
154,Unsupervised Person Re-Identification(監視されていない人の再識別),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-person-re-identification
