task,script,url
Action Recognition In Videos,"Action Recognition in Videos is a task in computer vision and pattern recognition where the goal is to identify and categorize human actions performed in a video sequence. The task involves analyzing the spatiotemporal dynamics of the actions and mapping them to a predefined set of action classes, such as running, jumping, or swimming.",https://paperswithcode.com/task/action-recognition-in-videos-2
Activity Recognition,"Human Activity Recognition is the problem of identifying events performed by humans given a video input. It is formulated as a binary (or multiclass) classification problem of outputting activity class labels. Activity Recognition is an important problem with many societal applications including smart surveillance, video search/retrieval, intelligent robots, and other monitoring systems.
Source: Learning Latent Sub-events in Activity Videos Using Temporal Attention Filters",https://paperswithcode.com/task/activity-recognition
Video Prediction,"Video Prediction is the task of predicting future frames given past video frames.
Gif credit: MAGVIT
Source: Photo-Realistic Video Prediction on Natural Videos of Largely Changing Frames",https://paperswithcode.com/task/video-prediction
Visual Object Tracking,"Visual Object Tracking is an important research topic in computer vision, image understanding and pattern recognition. Given the initial state (centre location and scale) of a target in the first frame of a video sequence, the aim of Visual Object Tracking is to automatically obtain the states of the object in the subsequent video frames.
Source: Learning Adaptive Discriminative Correlation Filters via Temporal Consistency Preserving Spatial Feature Selection for Robust Visual Object Tracking",https://paperswithcode.com/task/visual-object-tracking
Skeleton Based Action Recognition,"Skeleton-based Action Recognition is a computer vision task that involves recognizing human actions from a sequence of 3D skeletal joint data captured from sensors such as Microsoft Kinect, Intel RealSense, and wearable devices. The goal of skeleton-based action recognition is to develop algorithms that can understand and classify human actions from skeleton data, which can be used in various applications such as human-computer interaction, sports analysis, and surveillance.
( Image credit: View Adaptive Neural Networks for High Performance Skeleton-based Human Action Recognition )",https://paperswithcode.com/task/skeleton-based-action-recognition
Speech Recognition,,https://paperswithcode.com/methods/category/speech-recognition
Video Classification,"Video Classification is the task of producing a label that is relevant to the video given its frames. A good video level classifier is one that not only provides accurate frame labels, but also best describes the entire video given the features and the annotations of the various frames in the video. For example, a video might contain a tree in some frame, but the label that is central to the video might be something else (e.g., “hiking”). The granularity of the labels that are needed to describe the frames and the video depends on the task. Typical tasks include assigning one or more global labels to the video, and assigning one or more labels for each frame inside the video.
Source: Efficient Large Scale Video Classification",https://paperswithcode.com/task/video-classification
Video Object Segmentation,"Video object segmentation is a binary labeling problem aiming to separate foreground object(s) from the background region of a video.
For leaderboards please refer to the different subtasks.",https://paperswithcode.com/task/video-object-segmentation
Visual Tracking,"Visual Tracking is an essential and actively researched problem in the field of computer vision with various real-world applications such as robotic services, smart surveillance systems, autonomous driving, and human-computer interaction. It refers to the automatic estimation of the trajectory of an arbitrary target object, usually specified by a bounding box in the first frame, as it moves around in subsequent video frames.
Source: Learning Reinforced Attentional Representation for End-to-End Visual Tracking",https://paperswithcode.com/task/visual-tracking
DeepFake Detection,"DeepFake Detection is the task of detecting fake videos or images that have been generated using deep learning techniques. Deepfakes are created by using machine learning algorithms to manipulate or replace parts of an original video or image, such as the face of a person. The goal of deepfake detection is to identify such manipulations and distinguish them from real videos or images.
Description source: DeepFakes: a New Threat to Face Recognition? Assessment and Detection
Image source: DeepFakes: a New Threat to Face Recognition? Assessment and Detection",https://paperswithcode.com/task/deepfake-detection
Person Re-Identification,"Person Re-Identification is a computer vision task in which the goal is to match a person's identity across different cameras or locations in a video or image sequence. It involves detecting and tracking a person and then using features such as appearance, body shape, and clothing to match their identity in different frames. The goal is to associate the same person across multiple non-overlapping camera views in a robust and efficient manner.",https://paperswithcode.com/task/person-re-identification
Facial Expression Recognition (FER),"Facial Expression Recognition (FER) is a computer vision task aimed at identifying and categorizing emotional expressions depicted on a human face. The goal is to automate the process of determining emotions in real-time, by analyzing the various features of a face such as eyebrows, eyes, mouth, and other features, and mapping them to a set of emotions such as anger, fear, surprise, sadness and happiness.
( Image credit: DeXpression )",https://paperswithcode.com/task/facial-expression-recognition
3D Human Pose Estimation,"3D Human Pose Estimation is a computer vision task that involves estimating the 3D positions and orientations of body joints and bones from 2D images or videos. The goal is to reconstruct the 3D pose of a person in real-time, which can be used in a variety of applications, such as virtual reality, human-computer interaction, and motion analysis.",https://paperswithcode.com/task/3d-human-pose-estimation
Action Segmentation,"Action Segmentation is a challenging problem in high-level video understanding. In its simplest form, Action Segmentation aims to segment a temporally untrimmed video by time and label each segmented part with one of pre-defined action labels. The results of Action Segmentation can be further used as input to various applications, such as video-to-text and action localization.
Source: TricorNet: A Hybrid Temporal Convolutional and Recurrent Network for Video Action Segmentation",https://paperswithcode.com/task/action-segmentation
Sign Language Recognition,"Sign Language Recognition is a computer vision and natural language processing task that involves automatically recognizing and translating sign language gestures into written or spoken language. The goal of sign language recognition is to develop algorithms that can understand and interpret sign language, enabling people who use sign language as their primary mode of communication to communicate more easily with non-signers.
( Image credit: Word-level Deep Sign Language Recognition from Video: A New Large-scale Dataset and Methods Comparison )",https://paperswithcode.com/task/sign-language-recognition
Trajectory Prediction,"Trajectory Prediction is the problem of predicting the short-term (1-3 seconds) and long-term (3-5 seconds) spatial coordinates of various road-agents such as cars, buses, pedestrians, rickshaws, and animals, etc. These road-agents have different dynamic behaviors that may correspond to aggressive or conservative driving styles.
Source: Forecasting Trajectory and Behavior of Road-Agents Using Spectral Clustering in Graph-LSTMs",https://paperswithcode.com/task/trajectory-prediction
Autonomous Driving,"Autonomous driving is the task of driving a vehicle without human conduction.
Many of the state-of-the-art results can be found at more general task pages such as 3D Object Detection and Semantic Segmentation.
(Image credit: Exploring the Limitations of Behavior Cloning for Autonomous Driving)",https://paperswithcode.com/task/autonomous-driving
Human-Object Interaction Detection,"Human-Object Interaction (HOI) detection is a task of identifying ""a set of interactions"" in an image, which involves the i) localization of the subject (i.e., humans) and target (i.e., objects) of interaction, and ii) the classification of the interaction labels.",https://paperswithcode.com/task/human-object-interaction-detection
Video Summarization,"Video Summarization aims to generate a short synopsis that summarizes the video content by selecting its most informative and important parts. The produced summary is usually composed of a set of representative video frames (a.k.a. video key-frames), or video fragments (a.k.a. video key-fragments) that have been stitched in chronological order to form a shorter video. The former type of a video summary is known as video storyboard, and the latter type is known as video skim.
Source: Video Summarization Using Deep Neural Networks: A Survey
Image credit: iJRASET",https://paperswithcode.com/task/video-summarization
Zero-Shot Learning,"Zero-shot learning (ZSL) is a model's ability to detect classes never seen during training. The condition is that the classes are not known during supervised learning.
Earlier work in zero-shot learning use attributes in a two-step approach to infer unknown classes. In the computer vision context, more recent advances learn mappings from image feature space to semantic space. Other approaches learn non-linear multimodal embeddings. In the modern NLP context, language models can be evaluated on downstream tasks without fine tuning.
Benchmark datasets for zero-shot learning include aPY, AwA, and CUB, among others.
( Image credit: Prototypical Networks for Few shot Learning in PyTorch )
Further readings:
Zero-Shot Learning -- A Comprehensive Evaluation of the Good, the Bad and the Ugly
Zero-Shot Learning in Modern NLP
Zero-Shot Learning for Text Classification",https://paperswithcode.com/task/zero-shot-learning
Activity Detection,Detecting activities in extended videos.,https://paperswithcode.com/task/activity-detection
Anomaly Detection,"Anomaly Detection is a binary classification identifying unusual or unexpected patterns in a dataset, which deviate significantly from the majority of the data. The goal of anomaly detection is to identify such anomalies, which could represent errors, fraud, or other types of unusual events, and flag them for further investigation.
[Image source]: GAN-based Anomaly Detection in Imbalance Problems",https://paperswithcode.com/task/anomaly-detection
Instance Segmentation,"Instance Segmentation is a computer vision task that involves identifying and separating individual objects within an image, including detecting the boundaries of each object and assigning a unique label to each object. The goal of instance segmentation is to produce a pixel-wise segmentation map of the image, where each pixel is assigned to a specific object instance.
Image Credit: Deep Occlusion-Aware Instance Segmentation with Overlapping BiLayers, CVPR'21",https://paperswithcode.com/task/instance-segmentation
Multiple Object Tracking,"Multiple Object Tracking is the problem of automatically identifying multiple objects in a video and representing them as a set of trajectories with high accuracy.
Source: SOT for MOT",https://paperswithcode.com/task/multiple-object-tracking
Optical Flow Estimation,"Optical Flow Estimation is a computer vision task that involves computing the motion of objects in an image or a video sequence. The goal of optical flow estimation is to determine the movement of pixels or features in the image, which can be used for various applications such as object tracking, motion analysis, and video compression.
Approaches for optical flow estimation include correlation-based, block-matching, feature tracking, energy-based, and more recently gradient-based.
Further readings:
Optical Flow Estimation
Performance of Optical Flow Techniques
Definition source: Devon: Deformable Volume Network for Learning Optical Flow
Image credit: Optical Flow Estimation",https://paperswithcode.com/task/optical-flow-estimation
Video Generation,( Various Video Generation Tasks. Gif credit: MaGViT ),https://paperswithcode.com/task/video-generation
Video Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-segmentation
3D Action Recognition,Image: Rahmani et al,https://paperswithcode.com/task/3d-human-action-recognition
Ad-hoc video search,"The Ad-hoc search task ended a 3 year cycle from 2016-2018 with a goal to model the end user search use-case, who is searching (using textual sentence queries) for segments of video containing persons, objects, activities, locations, etc. and combinations of the former. While the Internet Archive (IACC.3) dataset was adopted between 2016 to 2018, starting in 2019 a new data collection based on Vimeo Creative Commons (V3C) will be adopted to support the task for at least 3 more years.
Given the test collection (V3C1 or IACC.3), master shot boundary reference, and set of Ad-hoc queries (approx. 30 queries) released by NIST, return for each query a list of at most 1000 shot IDs from the test collection ranked according to their likelihood of containing the target query.",https://paperswithcode.com/task/ad-hoc-video-search
Audio Classification,"Audio Classification is a machine learning task that involves identifying and tagging audio signals into different classes or categories. The goal of audio classification is to enable machines to automatically recognize and distinguish between different types of audio, such as music, speech, and environmental sounds.",https://paperswithcode.com/task/audio-classification
Depth Estimation,"Depth Estimation is the task of measuring the distance of each pixel relative to the camera. Depth is extracted from either monocular (single) or stereo (multiple views of a scene) images. Traditional methods use multi-view geometry to find the relationship between the images. Newer methods can directly estimate depth by minimizing the regression loss, or by learning to generate a novel view from a sequence. The most popular benchmarks are KITTI and NYUv2. Models are typically evaluated according to a RMS metric.
Source: DIODE: A Dense Indoor and Outdoor DEpth Dataset",https://paperswithcode.com/task/depth-estimation
Face Anti-Spoofing,"Facial anti-spoofing is the task of preventing false facial verification by using a photo, video, mask or a different substitute for an authorized person’s face. Some examples of attacks:
Print attack: The attacker uses someone’s photo. The image is printed or displayed on a digital device.
Replay/video attack: A more sophisticated way to trick the system, which usually requires a looped video of a victim’s face. This approach ensures behaviour and facial movements to look more ‘natural’ compared to holding someone’s photo.
3D mask attack: During this type of attack, a mask is used as the tool of choice for spoofing. It’s an even more sophisticated attack than playing a face video. In addition to natural facial movements, it enables ways to deceive some extra layers of protection such as depth sensors.
( Image credit: Learning Generalizable and Identity-Discriminative Representations for Face Anti-Spoofing )",https://paperswithcode.com/task/face-anti-spoofing
Face Recognition,"Facial Recognition is the task of making a positive identification of a face in a photo or video image against a pre-existing database of faces. It begins with detection - distinguishing human faces from other objects in the image - and then works on identification of those detected faces.
The state of the art tables for this task are contained mainly in the consistent parts of the task : the face verification and face identification tasks.
( Image credit: Face Verification )",https://paperswithcode.com/task/face-recognition
Multi-Task Learning,"Multi-task learning aims to learn multiple different tasks simultaneously while maximizing performance on one or all of the tasks.
( Image credit: Cross-stitch Networks for Multi-task Learning )",https://paperswithcode.com/task/multi-task-learning
Self-Supervised Learning,Self-Supervised Learning refers to a category of methods where we learn representations in a self-supervised way (i.e without labels). These methods generally involve a pretext task that is solved to learn a good representation and a loss function to learn with. Below you can find a continuously updating list of self-supervised methods.,https://paperswithcode.com/methods/category/self-supervised-learning
Semi-Supervised Video Object Segmentation,The semi-supervised scenario assumes the user inputs a full mask of the object(s) of interest in the first frame of a video sequence. Methods have to produce the segmentation mask for that object(s) in the subsequent frames.,https://paperswithcode.com/task/semi-supervised-video-object-segmentation
Sign Language Translation,"Given a video containing sign language, the task is to predict the translation into (written) spoken language.
Image credit: How2Sign",https://paperswithcode.com/task/sign-language-translation
Unsupervised Video Object Segmentation,The unsupervised scenario assumes that the user does not interact with the algorithm to obtain the segmentation masks. Methods should provide a set of object candidates with no overlapping pixels that span through the whole video sequence. This set of objects should contain at least the objects that capture human attention when watching the whole video sequence i.e objects that are more likely to be followed by human gaze.,https://paperswithcode.com/task/unsupervised-video-object-segmentation
Video Object Detection,"Video object detection is the task of detecting objects from a video as opposed to images.
( Image credit: Learning Motion Priors for Efficient Video Object Detection )",https://paperswithcode.com/task/video-object-detection
Video Object Tracking,Video Object Detection aims to detect targets in videos using both spatial and temporal information. It's usually deeply integrated with tasks such as Object Detection and Object Tracking.,https://paperswithcode.com/task/video-object-tracking
Video Quality Assessment,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-quality-assessment
3D Object Detection,"3D Object Detection is a task in computer vision where the goal is to identify and locate objects in a 3D environment based on their shape, location, and orientation. It involves detecting the presence of objects and determining their location in the 3D space in real-time. This task is crucial for applications such as autonomous vehicles, robotics, and augmented reality.
( Image credit: AVOD )",https://paperswithcode.com/task/3d-object-detection
3D Pose Estimation,"Image credit: GSNet: Joint Vehicle Pose and Shape Reconstruction with Geometrical and Scene-aware Supervision , ECCV'20",https://paperswithcode.com/task/3d-pose-estimation
Action Quality Assessment,Assessing/analyzing/quantifying how well an action was performed.,https://paperswithcode.com/task/action-quality-assessment
Emotion Recognition,"Emotion Recognition is an important area of research to enable effective human-computer interaction. Human emotions can be detected using speech signal, facial expressions, body language, and electroencephalography (EEG). Source: Using Deep Autoencoders for Facial Expression Recognition",https://paperswithcode.com/task/emotion-recognition
Face Detection,"Face Detection is a computer vision task that involves automatically identifying and locating human faces within digital images or videos. It is a fundamental technology that underpins many applications such as face recognition, face tracking, and facial analysis.
( Image credit: insightface )",https://paperswithcode.com/task/face-detection
Face Swapping,"Face swapping refers to the task of swapping faces between images or in an video, while maintaining the rest of the body and environment context.
( Image credit: Swapped Face Detection using Deep Learning and Subjective Assessment )",https://paperswithcode.com/task/face-swapping
Hand Gesture Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/hand-gesture-recognition
Hand Pose Estimation,"Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames.
( Image credit: Pose-REN )",https://paperswithcode.com/task/hand-pose-estimation
Lipreading,"Lipreading is a process of extracting speech by watching lip movements of a speaker in the absence of sound. Humans lipread all the time without even noticing. It is a big part in communication albeit not as dominant as audio. It is a very helpful skill to learn especially for those who are hard of hearing.
Deep Lipreading is the process of extracting speech from a video of a silent talking face using deep neural networks. It is also known by few other names: Visual Speech Recognition (VSR), Machine Lipreading, Automatic Lipreading etc.
The primary methodology involves two stages: i) Extracting visual and temporal features from a sequence of image frames from a silent talking video ii) Processing the sequence of features into units of speech e.g. characters, words, phrases etc. We can find several implementations of this methodology either done in two separate stages or trained end-to-end in one go.",https://paperswithcode.com/task/lipreading
Multimodal Activity Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multimodal-activity-recognition
Scene Understanding,"Scene Understanding is something that to understand a scene. For instance, iPhone has function that help eye disabled person to take a photo by discribing what the camera sees. This is an example of Scene Understanding.",https://paperswithcode.com/task/scene-understanding
Video Instance Segmentation,"The goal of video instance segmentation is simultaneous detection, segmentation and tracking of instances in videos. In words, it is the first time that the image instance segmentation problem is extended to the video domain.
To facilitate research on this new task, a large-scale benchmark called YouTube-VIS, which consists of 2,883 high-resolution YouTube videos, a 40-category label set and 131k high-quality instance masks is built.",https://paperswithcode.com/task/video-instance-segmentation
Zero-Shot Video Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/zero-shot-video-retrieval
2D Semantic Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/2d-semantic-segmentation
2D object detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/2d-object-detection
3D Reconstruction,,https://paperswithcode.com/methods/category/3d-reconstruction
Decision Making,"Decision Making is a complex task that involves analyzing data (of different level of abstraction) from disparate sources and with different levels of certainty, merging the information by weighing in on some data source more than other, and arriving at a conclusion by exploring all possible alternatives.
Source: Complex Events Recognition under Uncertainty in a Sensor Network",https://paperswithcode.com/task/decision-making
Dense Video Captioning,"Most natural videos contain numerous events. For example, in a video of a “man playing a piano”, the video might also contain “another man dancing” or “a crowd clapping”. The task of dense video captioning involves both detecting and describing events in a video.",https://paperswithcode.com/task/dense-video-captioning
Face Verification,"Face Verification is a machine learning task in computer vision that involves determining whether two facial images belong to the same person or not. The task involves extracting features from the facial images, such as the shape and texture of the face, and then using these features to compare and verify the similarity between the images.
( Image credit: Pose-Robust Face Recognition via Deep Residual Equivariant Mapping )",https://paperswithcode.com/task/face-verification
Human action generation,"Yan et al. (2019) CSGN:
""When the dancer is stepping, jumping and spinning on the stage, attentions of all audiences are attracted by the streamof the fluent and graceful movements. Building a model that is capable of dancing is as fascinating a task as appreciating the performance itself. In this paper, we aim to generate long-duration human actions represented as skeleton sequences, e.g. those that cover the entirety of a dance, with hundreds of moves and countless possible combinations.""
( Image credit: Convolutional Sequence Generation for Skeleton-Based Action Synthesis )",https://paperswithcode.com/task/human-action-generation
Object Localization,"Object Localization is the task of locating an instance of a particular object category in an image, typically by specifying a tightly cropped bounding box centered on the instance. An object proposal specifies a candidate bounding box, and an object proposal is said to be a correct localization if it sufficiently overlaps a human-labeled “ground-truth” bounding box for the given object. In the literature, the “Object Localization” task is to locate one instance of an object category, whereas “object detection” focuses on locating all instances of a category in a given image.
Source: Fast On-Line Kernel Density Estimation for Active Object Localization",https://paperswithcode.com/task/object-localization
Object Recognition,"Object recognition is a computer vision technique for detecting + classifying objects in images or videos. Since this is a combined task of object detection plus image classification, the state-of-the-art tables are recorded for each component task here and here.
( Image credit: Tensorflow Object Detection API )",https://paperswithcode.com/task/object-recognition
Online Multi-Object Tracking,"The goal of Online Multi-Object Tracking is to estimate the spatio-temporal trajectories of multiple objects in an online video stream (i.e., the video is provided frame-by-frame), which is a fundamental problem for numerous real-time applications, such as video surveillance, autonomous driving, and robot navigation.
Source: A Hybrid Data Association Framework for Robust Online Multi-Object Tracking",https://paperswithcode.com/task/online-multi-object-tracking
Spatio-Temporal Action Localization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/spatio-temporal-action-localization
Speaker Recognition,"Speaker Recognition is the process of identifying or confirming the identity of a person given his speech segments.
Source: Margin Matters: Towards More Discriminative Deep Neural Network Embeddings for Speaker Recognition",https://paperswithcode.com/task/speaker-recognition
Unsupervised Domain Adaptation,"Unsupervised Domain Adaptation is a learning framework to transfer knowledge learned from source domains with a large number of annotated training examples to target domains with unlabeled data only.
Source: Domain-Specific Batch Normalization for Unsupervised Domain Adaptation",https://paperswithcode.com/task/unsupervised-domain-adaptation
Video Frame Interpolation,,https://paperswithcode.com/methods/category/video-frame-interpolation
Video Inpainting,"The goal of Video Inpainting is to fill in missing regions of a given video sequence with contents that are both spatially and temporally coherent. Video Inpainting, also known as video completion, has many real-world applications such as undesired object removal and video restoration.
Source: Deep Flow-Guided Video Inpainting",https://paperswithcode.com/task/video-inpainting
Video Recognition,"Video Recognition is a process of obtaining, processing, and analysing data that it receives from a visual source, specifically video.",https://paperswithcode.com/task/video-recognition
Video Super-Resolution,"Video Super-Resolution is a computer vision task that aims to increase the resolution of a video sequence, typically from lower to higher resolutions. The goal is to generate high-resolution video frames from low-resolution input, improving the overall quality of the video.
( Image credit: Detail-revealing Deep Video Super-Resolution )",https://paperswithcode.com/task/video-super-resolution
Zero-Shot Action Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/zero-shot-action-recognition
2D Human Pose Estimation,"What is Human Pose Estimation? Human pose estimation is the process of estimating the configuration of the body (pose) from a single, typically monocular, image. Background. Human pose estimation is one of the key problems in computer vision that has been studied for well over 15 years. The reason for its importance is the abundance of applications that can benefit from such a technology. For example, human pose estimation allows for higher-level reasoning in the context of human-computer interaction and activity recognition; it is also one of the basic building blocks for marker-less motion capture (MoCap) technology. MoCap technology is useful for applications ranging from character animation to clinical analysis of gait pathologies.",https://paperswithcode.com/task/2d-human-pose-estimation
3D Hand Pose Estimation,Image: Zimmerman et l,https://paperswithcode.com/task/3d-hand-pose-estimation
3D Object Tracking,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/3d-object-tracking
Action Anticipation,"Next action anticipation is defined as observing 1, ... , T frames and predicting the action that happens after a gap of T_a seconds. It is important to note that a new action starts after T_a seconds that is not seen in the observed frames. Here T_a=1 second.",https://paperswithcode.com/task/action-anticipation
Action Triplet Recognition,"Recognising action as a triplet of subject verb and object. Example HOI = Human Object Interaction, Surgical IVT = Instrument Verb Target, etc.",https://paperswithcode.com/task/action-triplet-recognition
Action Understanding,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/action-understanding
Anomaly Detection In Surveillance Videos,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/anomaly-detection-in-surveillance-videos
Audio-Visual Speech Recognition,Audio-visual speech recognition is the task of transcribing a paired audio and visual stream into text.,https://paperswithcode.com/task/audio-visual-speech-recognition
Crowd Counting,"Crowd Counting is a task to count people in image. It is mainly used in real-life for automated public monitoring such as surveillance and traffic control. Different from object detection, Crowd Counting aims at recognizing arbitrarily sized targets in various situations including sparse and cluttering scenes at the same time.
Source: Deep Density-aware Count Regressor",https://paperswithcode.com/task/crowd-counting
Deblurring,"Deblurring is a computer vision task that involves removing the blurring artifacts from images or videos to restore the original, sharp content. Blurring can be caused by various factors such as camera shake, fast motion, and out-of-focus objects, and can result in a loss of detail and quality in the captured images. The goal of deblurring is to produce a clear, high-quality image that accurately represents the original scene.
( Image credit: Deblurring Face Images using Uncertainty Guided Multi-Stream Semantic Networks )",https://paperswithcode.com/task/deblurring
Disentanglement,"This is an approach to solve a diverse set of tasks in a data efficient manner by disentangling (or isolating ) the underlying structure of the main problem into disjoint parts of its representations. This disentanglement can be done by focussing on the ""transformation"" properties of the world(main problem)",https://paperswithcode.com/task/disentanglement
Domain Adaptation,,https://paperswithcode.com/methods/category/domain-adaptation
Emotion Classification,"Emotion classification, or emotion categorization, is the task of recognising emotions to classify them into the corresponding category. Given an input, classify it as 'neutral or no emotion' or as one, or more, of several given emotions that best represent the mental state of the subject's facial expression, words, and so on. Some example benchmarks include ROCStories, Many Faces of Anger (MFA), and GoEmotions. Models can be evaluated using metrics such as the Concordance Correlation Coefficient (CCC) and the Mean Squared Error (MSE).",https://paperswithcode.com/task/emotion-classification
Emotion Recognition in Conversation,"Given the transcript of a conversation along with speaker information of each constituent utterance, the ERC task aims to identify the emotion of each utterance from several pre-defined emotions. Formally, given the input sequence of N number of utterances [(u1, p1), (u2, p2), . . . , (uN , pN )], where each utterance ui = [ui,1, ui,2, . . . , ui,T ] consists of T words ui,j and spoken by party pi, the task is to predict the emotion label ei of each utterance ui. .",https://paperswithcode.com/task/emotion-recognition-in-conversation
Gesture Recognition,"Gesture Recognition is an active field of research with applications such as automatic recognition of sign language, interaction of humans and robots or for new ways of controlling video games.
Source: Gesture Recognition in RGB Videos Using Human Body Keypoints and Dynamic Time Warping",https://paperswithcode.com/task/gesture-recognition
Human Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/human-detection
Image Classification,"Image Classification is a fundamental task that attempts to comprehend an entire image as a whole. The goal is to classify the image by assigning it to a specific label. Typically, Image Classification refers to images in which only one object appears and is analyzed. In contrast, object detection involves both classification and localization tasks, and is used to analyze more realistic cases in which multiple objects may exist in an image.
Source: Metamorphic Testing for Object Detection Systems",https://paperswithcode.com/task/image-classification
